RANK_DOUBLON;CODE_COMMUNE;ID_BASE_EXTERNE;CODE_IDENTIFIANT_EXTERNE;NOM_COMMUNE;NOMENCL_INSEE;NOMENCL_DEPARTEMENT;NOMENCL_REGION_INSEE;CODE_PAYS;CODE_BASSIN;CODE_CANTON;CODE_POSTAL;PLUS_UTILISE
0;2879;;;HESTRUS;62450;62;32;1;;1209;62550;0
0;936;;;HETOMESNIL;60314;60;32;1;;152;60360;0
0;2884;;;HEUCHIN;62451;62;32;1;;1209;62134;0
0;2587;;;HEUCOURT CROQUOISON;80437;80;32;1;;575;80270;0
0;949;;;HEUDICOURT;80438;80;32;1;;225;80122;0
0;1636;;;HEURINGHEM;62452;62;32;1;;1268;62575;0
0;2131;;;HINGES;62454;62;32;1;;958;62232;0
0;2583;;;HIREL;35132;35;53;1;;1622;35120;0
0;2392;;;HIRSINGUE;68138;68;44;1;;960;68560;0
0;404;;;HIRSON;2381;2;32;1;;881;2500;0
0;1978;;;HOCQUINGHEN;62455;62;32;1;;500;62850;0
0;2546;;;HODENC EN BRAY;60315;60;32;1;;152;60650;0
0;2371;;;HODENG AU BOSC;76363;76;28;1;;145;76340;0
0;3508;;;HOENHEIM;67204;67;44;1;;;67800;0
0;405;;;HOLNON;2382;2;32;1;;124;2760;0
0;3566;;;HOLQUE;59307;59;32;1;;476;59143;0
0;1124;;;HOMBLIERES;2383;2;32;1;;830;2720;0
0;1388;;;HON HERGIES;59310;59;32;1;;1701;59570;0
0;1175;;;HONDAINVILLE;60317;60;32;1;;1129;60250;0
0;1860;;;HONDSCHOOTE;59309;59;32;1;;476;59122;0
0;2470;;;HONFLEUR;14333;14;28;1;;1125;14600;0
0;406;;;HONGUEMARE GUENOUVILLE;27340;27;28;1;;438;27310;0
0;2961;;;HONNECHY;59311;59;32;1;;408;59980;0
0;2124;;;HONNECOURT SUR ESCAUT;59312;59;32;1;;408;59266;0
0;2637;;;HORDAIN;59313;59;32;1;;1022;59111;0
0;1229;;;HORNAING;59314;59;32;1;;1763;59171;0
0;1185;;;HORNOY LE BOURG;80443;80;32;1;;575;80640;0
0;1407;;;HOUCHIN;62456;62;32;1;;232;62620;0
0;1236;;;HOUDAIN;62457;62;32;1;;1581;62150;0
0;1512;;;HOUDAIN LEZ BAVAY;59315;59;32;1;;1701;59570;0
0;1111;;;HOUDANCOURT;60318;60;32;1;;512;60710;0
0;2396;;;HOUDEMONT;54265;54;44;1;;1625;54180;0
0;407;;;HOUILLES;78311;78;11;1;;279;78800;0
0;3184;;;HOULLE;62458;62;32;1;;950;62910;0
0;1371;;;HOUPLIN ANCOISNE;59316;59;32;1;;1652;59263;0
0;2142;;;HOUPLINES;59317;59;32;1;;1344;59116;0
0;2316;;;HOUTKERQUE;59318;59;32;1;;476;59470;0
0;2635;;;HOUVIN HOUVIGNEUL;62459;62;32;1;;1516;62270;0
0;1341;;;HOYMILLE;59319;59;32;1;;476;59492;0
0;2204;;;HUBY ST LEU;62461;62;32;1;;1149;62140;0
0;2715;;;HUCHENNEVILLE;80444;80;32;1;;480;80132;0
0;3579;;;HUCQUELIERS;62463;62;32;1;;;62650;0
0;2873;;;HULLUCH;62464;62;32;1;;844;62410;0
0;2899;;;HUMBERCAMPS;62465;62;32;1;;1516;62158;0
0;3091;;;HUPPY;80446;80;32;1;;767;80140;0
0;2499;;;ILLIES;59320;59;32;1;;8;59480;0
0;408;;;ILLKIRCH GRAFFENSTADEN;67218;67;44;1;;853;67400;0
0;2387;;;ILLZACH;68154;68;44;1;;1863;68110;0
0;3641;;;INCHEVILLE;76374;76;28;1;;145;76117;0
0;409;;;INCHY;59321;59;32;1;;408;59540;0
0;1299;;;INCHY EN ARTOIS;62469;62;32;1;;380;62860;0
0;2360;;;INGERSHEIM;68155;68;44;1;;1216;68040;0
0;1137;;;INGRE;45169;45;24;1;;1104;45140;0
0;2386;;;INNENHEIM;67223;67;44;1;;1289;67880;0
0;2568;;;IRON;2386;2;32;1;;526;2510;0
0;410;;;IS SUR TILLE;21317;21;27;1;;532;21120;0
0;1427;;;ISBERGUES;62473;62;32;1;;1624;62330;0
0;1810;;;ISNEAUVILLE;76377;76;28;1;;1180;76230;0
0;411;;;ISQUES;62474;62;32;1;;1317;62360;0
0;412;;;ISSY LES MOULINEAUX;92040;92;11;1;;1066;92130;0
0;413;;;ITANCOURT;2387;2;32;1;;484;2240;0
0;414;;;ITTEVILLE;91315;91;11;1;;989;91760;0
0;3593;;;IVERGNY;62475;62;32;1;;;62810;0
0;415;;;IVRY SUR SEINE;94041;94;11;1;;534;94200;0
0;1436;;;IWUY;59322;59;32;1;;50;59141;0
0;1981;;;IZEL LES EQUERCHIN;62476;62;32;1;;1942;62490;0
0;1795;;;IZEL LES HAMEAU;62477;62;32;1;;1516;62690;0
0;2466;;;JAGNY SOUS BOIS;95316;95;11;1;;1032;95850;0
0;3212;;;JANVILLE;60323;60;32;1;;1430;60150;0
0;941;;;JAULZY;60324;60;32;1;;1430;60350;0
0;416;;;JAUX;60325;60;32;1;;1787;60880;0
0;3066;;;JEANCOURT;2390;2;32;1;;124;2490;0
0;1541;;;JENLAIN;59323;59;32;1;;1701;59144;0
0;417;;;JEUMONT;59324;59;32;1;;1504;59460;0
0;1320;;;JOLIMETZ;59325;59;32;1;;977;59530;0
0;1283;;;JONCHERY;52251;52;44;1;;1969;52000;0
0;3477;;;JONCHERY SUR VESLE;51308;51;44;1;;;51140;0
0;2825;;;JONCOURT;2392;2;32;1;;433;2420;0
0;1191;;;JONQUIERES;60326;60;32;1;;1787;60680;0
0;3510;;;JOUARS PONTCHARTRAIN;78321;78;11;1;;;78760;0
0;3514;;;JOUE LES TOURS;37122;37;24;1;;;37300;0
0;418;;;JOUY EN JOSAS;78322;78;11;1;;281;78350;0
0;1176;;;JOUY SOUS THELLE;60327;60;32;1;;703;60240;0
0;2106;;;JUBLAINS;53122;53;52;1;;924;53160;0
0;3494;;;JUMEAUVILLE;78325;78;11;1;;;78580;0
0;2090;;;JUMEL;80452;80;32;1;;825;80250;0
0;3306;;;JUMENCOURT;2395;2;32;1;;1033;2380;0
0;2475;;;JUMIEGES;76378;76;28;1;;1549;76480;0
0;2679;;;JURANCON;64284;64;75;1;;617;64110;0
0;419;;;JUSSY;2397;2;32;1;;484;2480;0
0;1277;;;JUVIGNY;51312;51;44;1;;1114;51150;0
0;3608;;;JUVISY SUR ORGE;91326;91;11;1;;;91260;0
0;3288;;;JUZIERS;78327;78;11;1;;1981;78820;0
0;3391;;;KERSAINT PLABENNEC;29095;29;53;1;;55;29860;0
0;2019;;;KILLEM;59326;59;32;1;;476;59122;0
0;2365;;;KINGERSHEIM;68166;68;44;1;;1843;68260;0
0;1204;;;L ABERGEMENT DE VAREY;1002;1;84;1;;417;1640;0
0;420;;;L EPINE;51231;51;44;1;;1476;51460;0
0;1459;;;L ETOILE;80296;80;32;1;;1487;80830;0
0;421;;;L ILE ST DENIS;93039;93;11;1;;625;93450;0
0;422;;;L ISLE ADAM;95313;95;11;1;;899;95290;0
0;2809;;;L ISLE D ESPAGNAC;16166;16;75;1;;1453;16340;0
0;3350;;;L ISLE SUR LA SORGUE;84054;84;93;1;;1012;84800;0
0;1278;;;LA BASSEE;59051;59;32;1;;8;59480;0
0;2467;;;LA BAZOGE MONTPINCON;53021;53;52;1;;924;53440;0
0;3008;;;LA BOUTEILLE;2109;2;32;1;;641;2140;0
0;3397;;;LA CALOTTERIE;62196;62;32;1;;1686;62170;0
0;1290;;;LA CAPELLE;2141;2;32;1;;641;2260;0
0;1789;;;LA CAPELLE LES BOULOGNE;62908;62;32;1;;591;62360;0
0;2912;;;LA CAUCHIE;62216;62;32;1;;1516;62158;0
0;2689;;;LA CELLE ST CLOUD;78126;78;11;1;;1626;78170;0
0;2497;;;LA CERLANGUE;76169;76;28;1;;1965;76430;0
0;2167;;;LA CHAPELLE ANTHENAISE;53056;53;52;1;;49;53950;0
0;1221;;;LA CHAPELLE D ARMENTIERES;59143;59;32;1;;1344;59930;0
0;423;;;LA CHAPELLE EN SERVAL;60142;60;32;1;;1044;60520;0
0;424;;;LA CHAPELLE SOUS DUN;71095;71;27;1;;648;71800;0
0;3238;;;LA CHAPELLE ST AUBIN;72065;72;52;1;;235;72650;0
0;3634;;;LA CHAPELLE SUR CHEZY;2162;2;32;1;;;2570;0
0;1955;;;LA CHARITE SUR LOIRE;58059;58;27;1;;446;58400;0
0;1725;;;LA CHATAIGNERAIE;85059;85;52;1;;1120;85120;0
0;2544;;;LA CHAUSSEE;76173;76;28;1;;928;76590;0
0;425;;;LA CHAUSSEE D IVRY;28096;28;24;1;;256;28260;0
0;3368;;;LA CHAUSSEE ST VICTOR;41047;41;24;1;;1502;41260;0
0;426;;;LA CHAUSSEE SUR MARNE;51141;51;44;1;;605;51240;0
0;427;;;LA CHAUSSEE TIRANCOURT;80187;80;32;1;;563;80310;0
0;2524;;;LA CHAVATTE;80189;80;32;1;;860;80700;0
0;1601;;;LA CHEVROLIERE;44041;44;52;1;;548;44118;0
0;3024;;;LA CIOTAT;13028;13;93;1;;588;13600;0
0;2625;;;LA COMTE;62232;62;32;1;;1581;62150;0
0;428;;;LA COURNEUVE;93027;93;11;1;;1470;93120;0
0;1209;;;LA COUTURE;62252;62;32;1;;958;62136;0
0;429;;;LA CRECHE;79048;79;75;1;;1608;79260;0
0;3499;;;LA DRENNE;60196;60;32;1;;;60790;0
0;3242;;;LA FALOISE;80299;80;32;1;;825;80250;0
0;430;;;LA FERE;2304;2;32;1;;1002;2800;0
0;1687;;;LA FERTE CHEVRESIS;2306;2;32;1;;484;2270;0
0;2197;;;LA FERTE MACE;61168;61;28;1;;1115;61600;0
0;431;;;LA FERTE MILON;2307;2;32;1;;1404;2460;0
